Input,Output
"Bow, ice element, epic",ChillKris
"Spear, water element, uncommon",Uncommon Breaker
"Dagger, lightning element, mythic",VoltHammer
"Whip, poison element, epic",The Blade
"Crossbow, toxic element, epic",Epic Wand
"Shield, water element, uncommon",Deep-Shard
"Shield, holy element, uncommon",The Slicer
"Sword, light element, rare",Luminous of the Claw
"Crossbow, void element, epic",Void of the Scythe of Quake
"Sword, earth element, legendary",Legendary Spire
"Crossbow, fire element, rare",Ember of the Maul
"Mace, lightning element",Thunder-Reaver of Blackhole
"Scythe, poison element, legendary",Plague of the Slicer
"Scythe, water element, common",Deep-Fury of Null
"Orb, water element, rare",Tide of the Glaive
"Orb, void element",Abyss-Scythe
"Spear, storm element, legendary",Rain of the Claw of Chill
"Gauntlet, wind element, common",Storm-Whisper of Tide
"Bow, shadow element, mythic",Gloom-Breaker
"Bow, blood element, epic",Epic Spire
"Gauntlet, ice element, mythic",Chill-Shard
"Orb, shadow element, ancient",Ancient Lance
"Mace, void element, common",Dark-Fury of Shade
"Whip, toxic element, legendary",BlightScythe
"Gauntlet, wind element, common",Storm-Spire of Shock
"Sword, earth element, rare",Quake of the Warden
"Shield, void element, mythic",The Spire of Blaze
"Mace, light element, uncommon",The Hammer
"Wand, ice element, ancient",The Lance
"Gauntlet, fire element, legendary",Inferno-Whisper
"Whip, shadow element, ancient",NightReaver
"Crossbow, light element, rare",The Aegis
"Staff, poison element, common",Fang-Whisper of Tide
"Axe, storm element, mythic",The Edge
"Shield, fire element, mythic",Mythic Aegis
"Scythe, poison element, legendary",Plague of the Fang
"Gauntlet, void element, mythic",DarkHammer of Shade
"Scythe, holy element, uncommon",The Staff
"Hammer, shadow element, ancient",The Fang of Aqua
"Staff, wind element, legendary",The Wand
"Whip, poison element, rare",Toxic of the Whisper of Aurora
"Mace, toxic element, rare",Mire-Edge
"Mace, toxic element, common",The Glaive
"Whip, poison element, epic",The Fang of Rune
"Mace, light element, legendary",The Wand
"Hammer, toxic element, epic",Epic Shard
"Shield, blood element, ancient",Sanguine-Kris
"Orb, void element",Abyss-Slicer of Sacred
"Whip, fire element, mythic",The Talon of Chill
"Bow, water element, mythic",Wave-Fury of Storm
"Gauntlet, blood element, uncommon",Sanguine-Aegis
"Shield, arcane element, mythic",Mythic Whisper of Volt
"Sword, earth element, rare",Quake of the Blade
"Orb, light element, legendary",Luminous-Whisper
"Crossbow, earth element, ancient",Ancient Lance
"Bow, holy element, uncommon",The Slicer
"Crossbow, ice element, mythic",ChillShard of Decay
"Dagger, ice element, legendary",Glacier-Breaker of Glacier
"Mace, light element",Sun-Glaive of Gloom
"Mace, light element",Sun-Talon
"Mace, holy element, rare",Grace-Wand of Spark
"Scythe, ice element, epic",IceKris of Chill
"Spear, void element",Dark-Slicer of Sacred
"Staff, void element, ancient",Abyss-Lance
"Shield, wind element, mythic",Zephyr of the Kris of Chill
"Spear, holy element, mythic",The Scythe
"Mace, shadow element, legendary",Umbral-Scythe
"Sword, lightning element, epic",ThunderWhisper of Void
"Shield, light element, ancient",The Glaive
"Scythe, shadow element, uncommon",The Scythe
"Crossbow, shadow element, ancient",DuskEdge
"Sword, void element, mythic",The Whisper
"Scythe, void element, uncommon",Blackhole-Breaker
"Axe, void element, mythic",The Reaver
"Mace, ice element, uncommon",Uncommon Blade
"Orb, water element, rare",Tide of the Slicer of Faith
"Sword, holy element, legendary",Blessed of the Blade
"Scythe, earth element, legendary",Stone-Cutter
"Wand, blood element",Crimson-Wand
"Mace, light element, legendary",The Slicer
"Mace, storm element, rare",The Lance
"Axe, earth element, mythic",Boulder-Edge of Blackhole
"Spear, holy element, common",Faith of the Reaver
"Scythe, earth element, legendary",Stone-Aegis of Ember
"Sword, storm element, rare",Rain-Fang of Squall
"Scythe, blood element, mythic",CrimsonLance
"Sword, storm element, rare",Rain-Talon
"Staff, holy element, common",Faith of the Cutter of Gloom
"Scythe, fire element, common",Blaze-Fury of Blessed
"Axe, void element, uncommon",Uncommon Kris of Cloud
"Shield, water element, mythic",Tide-Spire of Snow
"Spear, holy element, mythic",The Spire
"Orb, water element, common",WaveSpire of Blessed
"Wand, storm element, ancient",StormClaw
"Spear, earth element, common",Quake of the Claw
"Whip, blood element, ancient",SanguineWand of Blessed
"Staff, wind element, common",Gale of the Scythe
"Orb, fire element, ancient",The Staff of Radiant
"Mace, lightning element, common",Volt of the Hammer
"Spear, void element, legendary",Legendary Whisper
"Wand, shadow element, common",Gloom of the Fang of Rune
"Orb, earth element, epic",RootCutter
"Staff, ice element, common",Chill of the Aegis of Ember
"Sword, ice element, ancient",SnowShard
"Bow, holy element, rare",SacredTalon
"Staff, light element, uncommon",SunReaver
"Crossbow, shadow element, ancient",DuskReaver
"Sword, void element, ancient",The Kris of Grace
"Gauntlet, blood element, common",Common Breaker
"Gauntlet, arcane element, ancient",The Scythe of Wave
"Staff, blood element, mythic",PulseMaul
"Scythe, water element, common",Deep-Glaive of Void
"Bow, fire element, epic",The Edge
"Whip, toxic element, common",The Claw
"Wand, poison element",Plague-Warden of Faith
"Scythe, storm element, rare",Rare Fang
"Bow, light element, epic",SunAegis of Terra
"Sword, earth element, rare",Quake of the Scythe
"Scythe, lightning element, ancient",Thunder-Scythe of Wave
"Sword, ice element, common",GlacierCutter of Flame
"Wand, ice element, rare",IceWarden
"Scythe, poison element, legendary",Plague of the Hammer
"Scythe, toxic element",Toxic-Claw
"Bow, void element, ancient",Null of the Breaker
"Whip, lightning element, epic",Volt of the Staff of Shade
"Bow, toxic element, mythic",Mythic Reaver
"Bow, storm element, mythic",StormWhisper
"Mace, ice element, mythic",Chill of the Aegis
"Crossbow, lightning element, ancient",Thunder of the Hammer
"Wand, ice element, rare",IceBreaker
"Dagger, water element, epic",The Shard of Shade
"Staff, ice element, common",Chill of the Breaker
"Staff, light element, uncommon",SunKris
"Spear, toxic element, rare",Decay-Shard of Boulder
"Dagger, holy element, epic",DivineMaul
"Gauntlet, earth element, mythic",Quake of the Kris of Blight
"Crossbow, wind element, common",Common Whisper
"Bow, void element, epic",Epic Wand of Null
"Orb, light element, legendary",Luminous-Claw
"Bow, void element, common",The Maul
"Staff, arcane element, legendary",MysticAegis
"Staff, void element, legendary",The Staff
"Spear, earth element, rare",Root-Whisper of Volt
"Crossbow, arcane element, common",Common Scythe
"Sword, wind element, uncommon",Uncommon Scythe
"Whip, void element, legendary",Legendary Breaker
"Hammer, void element, rare",Dark of the Kris of Aqua
"Bow, ice element, common",Ice of the Edge of Fang
"Wand, ice element, epic",Chill of the Lance of Acid
"Spear, poison element, ancient",Acid of the Hammer
"Orb, ice element",Glacier-Kris of Aqua
"Whip, blood element, ancient",SanguineWand of Acid
"Gauntlet, ice element, legendary",The Talon
"Scythe, toxic element, ancient",CorruptHammer
"Hammer, arcane element, legendary",Rune of the Claw
"Shield, ice element, legendary",IceHammer
"Shield, blood element, ancient",Sanguine-Hammer of Blessed
"Whip, light element, common",LuminousMaul of Halo
"Whip, arcane element, epic",The Whisper
"Staff, holy element, common",Faith of the Scythe
"Scythe, shadow element, uncommon",The Blade
"Crossbow, fire element",Inferno-Scythe
"Whip, earth element, common",Common Cutter of Rain
"Bow, arcane element, ancient",Mystic-Shard
"Crossbow, water element, rare",Rare Wand
"Spear, blood element, rare",Rare Aegis
"Spear, toxic element, mythic",Blight of the Talon
"Hammer, toxic element, mythic",Mythic Kris
"Staff, void element, common",Common Reaver of Blackhole
"Scythe, blood element, common",The Wand of Void
"Shield, water element, mythic",Tide-Scythe
"Mace, lightning element",Thunder-Reaver
"Gauntlet, earth element, mythic",Quake of the Kris of Chill
"Axe, poison element, epic",AcidBreaker
"Sword, earth element, mythic",Mythic Wand
"Shield, poison element, common",Plague of the Maul
"Sword, blood element, uncommon",Uncommon Kris
"Shield, storm element, uncommon",Uncommon Talon
"Gauntlet, holy element, rare",Blessed of the Kris
"Crossbow, water element, epic",Epic Claw
"Scythe, lightning element",Shock-Scythe
"Staff, void element, mythic",BlackholeMaul
"Orb, void element, rare",Abyss of the Wand
"Orb, toxic element, mythic",MireScythe of Snow
"Shield, arcane element, mythic",Mythic Kris
"Scythe, toxic element, epic",The Spire
"Mace, water element, common",Tide-Staff of Radiant
"Crossbow, earth element, ancient",Ancient Talon
"Axe, toxic element, legendary",Blight-Talon
"Mace, storm element, rare",The Glaive
"Dagger, poison element, rare",The Maul
"Bow, ice element, epic",ChillScythe
"Orb, holy element, rare",The Spire of Blaze
"Axe, shadow element, legendary",The Aegis
"Whip, fire element, mythic",The Breaker of Toxic
"Scythe, water element, legendary",Deep-Whisper
"Dagger, lightning element, mythic",VoltKris of Pyro
"Staff, blood element, ancient",Ancient Kris
"Bow, wind element, uncommon",ZephyrFury
"Wand, lightning element, rare",BoltClaw of Gale
"Axe, void element, rare",The Whisper
"Crossbow, water element, rare",Rare Aegis of Blackhole
"Shield, light element, uncommon",Radiant-Scythe
"Crossbow, storm element, epic",RainKris
"Gauntlet, ice element, uncommon",Snow of the Breaker
"Scythe, lightning element",Shock-Breaker of Toxic
"Hammer, fire element",Blaze-Wand of Chill
"Scythe, toxic element, ancient",CorruptBreaker of Breeze
"Scythe, lightning element, uncommon",The Kris of Stone
"Mace, toxic element, common",The Talon
"Crossbow, earth element, ancient",Ancient Staff
"Axe, water element, mythic",WaveBreaker of Glacier
"Sword, blood element",Sanguine-Kris of Terra
"Staff, light element, uncommon",SunSlicer
"Orb, toxic element, ancient",Ancient Fang of Radiant
"Hammer, blood element, mythic",Sanguine of the Talon
"Mace, void element, epic",Blackhole of the Fury
"Sword, ice element, ancient",SnowWarden
"Dagger, poison element, legendary",The Talon
"Bow, blood element, epic",Epic Wand of Bolt
"Whip, storm element, ancient",The Hammer
"Crossbow, lightning element, ancient",Thunder of the Claw of Radiant
"Whip, poison element, rare",Toxic of the Shard
"Spear, void element",Dark-Wand
"Spear, toxic element, rare",Decay-Scythe
"Spear, wind element, epic",The Aegis
"Bow, arcane element, rare",Spell of the Claw
"Orb, holy element, rare",The Cutter of Deep
"Scythe, wind element, uncommon",Zephyr-Breaker of Mana
"Mace, wind element, legendary",Legendary Wand of Null
"Wand, shadow element, mythic",Gloom-Cutter of Flame
"Whip, fire element, uncommon",The Shard
"Scythe, void element, common",The Kris of Inferno
"Sword, lightning element, epic",ThunderBreaker of Gale
"Orb, water element, mythic",Tide-Cutter of Blaze
"Hammer, toxic element",Mire-Warden
"Wand, wind element, rare",The Spire
"Wand, ice element, rare",IceMaul of Radiant
"Wand, void element",Void-Claw
"Dagger, light element, uncommon",The Edge
"Whip, arcane element",Mystic-Blade
"Axe, arcane element, epic",Epic Staff
"Spear, void element, mythic",The Maul
"Dagger, toxic element, legendary",Legendary Breaker
"Gauntlet, holy element, rare",Blessed of the Staff of Rune
"Bow, toxic element, mythic",Mythic Lance
"Orb, ice element, uncommon",Uncommon Spire of Radiant
"Spear, shadow element, legendary",Dusk-Lance of Toxic
"Axe, light element, legendary",The Kris of Cloud
"Orb, ice element, uncommon",Uncommon Shard of Hemorrhage
"Mace, poison element, epic",Plague of the Fury
"Gauntlet, light element",Halo-Aegis of Whirl
"Mace, arcane element, uncommon",Mana of the Cutter of Rain
"Sword, wind element, mythic",WhirlBlade
"Dagger, poison element, legendary",The Staff of Bolt
"Axe, arcane element, uncommon",Rune of the Staff
"Scythe, lightning element, ancient",Thunder-Fury of Dark
"Dagger, toxic element, rare",Mire-Slicer of Faith
"Mace, arcane element, rare",Arcana of the Shard of Decay
"Sword, blood element",Sanguine-Edge
"Crossbow, wind element, rare",Rare Kris
"Dagger, arcane element, common",Mana of the Fury of Null
"Scythe, toxic element",Toxic-Blade
"Whip, wind element, mythic",The Scythe
"Mace, light element, uncommon",The Scythe of Pyro
"Spear, earth element",Root-Lance
"Mace, fire element, uncommon",Flame of the Claw of Gale
"Hammer, arcane element, legendary",Rune of the Staff
"Whip, earth element, common",Common Scythe of Dusk
"Dagger, toxic element, rare",Mire-Staff
"Sword, toxic element, uncommon",Toxic of the Glaive of Gloom
"Axe, arcane element, mythic",The Scythe of Quake
"Gauntlet, arcane element, ancient",The Kris
"Spear, wind element, ancient",The Whisper of Tide
"Spear, light element, common",Halo of the Whisper
"Sword, toxic element",Mire-Lance
"Orb, void element",Abyss-Aegis
"Sword, storm element, uncommon",Rain of the Maul
"Shield, arcane element, common",ManaScythe
"Gauntlet, toxic element, ancient",Ancient Kris of Umbral
"Whip, poison element, rare",Toxic of the Maul
"Bow, light element, epic",SunSpire of Pyro
"Dagger, fire element, ancient",Ember-Reaver
"Bow, holy element, rare",SacredShard of Chill
"Mace, fire element, mythic",Mythic Whisper of Whirl
"Whip, water element, rare",Deep of the Lance
"Mace, ice element, uncommon",Uncommon Kris of Terra
"Gauntlet, lightning element, epic",Thunder of the Talon
"Dagger, water element, epic",The Slicer of Sacred
"Hammer, toxic element, epic",Epic Cutter of Blaze
"Mace, light element, legendary",The Scythe
"Scythe, toxic element, epic",The Staff
"Bow, earth element, mythic",The Fang of Sanguine
"Dagger, shadow element, common",Common Lance of Toxic
"Gauntlet, poison element, rare",The Maul
"Axe, holy element, legendary",Legendary Reaver of Decay
"Wand, poison element, rare",VenomMaul
"Crossbow, arcane element, uncommon",Uncommon Kris of Blight
"Shield, wind element, mythic",Zephyr of the Blade
"Mace, water element, common",Tide-Hammer
"Orb, poison element, ancient",Fang of the Wand
"Mace, arcane element, rare",Arcana of the Aegis
"Whip, void element, common",DarkSlicer
"Dagger, toxic element, rare",Mire-Glaive
"Gauntlet, arcane element, ancient",The Talon of Dusk
"Scythe, lightning element",Shock-Hammer of Flood
"Mace, ice element, epic",Glacier of the Talon of Bolt
"Spear, arcane element, epic",Epic Breaker
"Dagger, holy element, mythic",Blessed-Claw
"Dagger, toxic element, ancient",Mire of the Kris
"Orb, water element, mythic",Tide-Staff
"Dagger, holy element, rare",The Breaker
"Dagger, blood element",Crimson-Wand of Blessed
"Wand, void element",Void-Cutter
"Orb, water element, rare",Tide of the Scythe
"Spear, shadow element, mythic",Night-Blade
"Gauntlet, light element",Halo-Fury
"Spear, earth element",Root-Scythe
"Gauntlet, light element",Halo-Staff of Radiant
"Hammer, arcane element, legendary",Rune of the Edge
"Gauntlet, toxic element, legendary",DecayReaver
"Gauntlet, earth element, mythic",Quake of the Spire of Mystic
"Gauntlet, earth element, common",The Talon of Flame
"Wand, wind element, rare",The Aegis
